Line Number	Position	Line	Error	Message
106	40	"p(HBP:""tubulin-binding repeat 1"") isA p(INTERPRO:""Microtubule associated protein, tubulin-binding repeat"")"	MissingNamespaceNameWarning	"""Microtubule associated protein, tubulin-binding repeat"" is not in the INTERPRO namespace"
107	40	"p(HBP:""tubulin-binding repeat 2"") isA p(INTERPRO:""Microtubule associated protein, tubulin-binding repeat"")"	MissingNamespaceNameWarning	"""Microtubule associated protein, tubulin-binding repeat"" is not in the INTERPRO namespace"
108	40	"p(HBP:""tubulin-binding repeat 3"") isA p(INTERPRO:""Microtubule associated protein, tubulin-binding repeat"")"	MissingNamespaceNameWarning	"""Microtubule associated protein, tubulin-binding repeat"" is not in the INTERPRO namespace"
109	40	"p(HBP:""tubulin-binding repeat 4"") isA p(INTERPRO:""Microtubule associated protein, tubulin-binding repeat"")"	MissingNamespaceNameWarning	"""Microtubule associated protein, tubulin-binding repeat"" is not in the INTERPRO namespace"
129	2	"p(INTERPRO:""Microtubule associated protein, tubulin-binding repeat"", pmod(Ph)) -| complex(p(HGNC:MAPT), p(HGNCGENEFAMILY:Tubulins))"	MissingNamespaceNameWarning	"""Microtubule associated protein, tubulin-binding repeat"" is not in the INTERPRO namespace"
